Round,FIRE,FIREWithoutRecency,Random
0,-10.375,-19.875,-6.5
1,-35.375,-50.125,-7.125
2,-60.25,-85.75,-4.625
3,-90.875,-117.375,-6.75
4,-128.375,-165.125,-10.25
5,-167.0,-204.875,-12.875
6,-215.125,-252.625,-17.625
7,-254.375,-302.125,-15.0
8,-297.25,-341.125,-15.5
9,-340.125,-376.625,-22.375
