Round,FIRE,FIREWithoutRecency,Random
0,1.325,2.2625,-0.0625
1,3.825,5.6375,-0.1625
2,10.475,12.9,-0.3
3,23.8375,25.55,-0.675
4,41.95,41.6,-0.5
5,61.5,60.85,-0.1625
6,84.225,81.35,-0.6
7,108.0,102.7,-1.4
8,131.55,124.2875,-1.6
9,155.725,145.7125,-2.4375
10,182.7,170.7,-1.5875
11,209.2125,193.2875,-2.25
12,235.925,216.625,-2.7125
13,263.475,242.075,-2.775
14,291.9875,267.4875,-1.6125
15,321.575,292.0875,-1.7875
16,350.8875,317.9375,-0.9375
17,381.325,342.8,-1.325
18,410.125,367.0875,-2.35
19,440.2625,393.1125,-3.7
20,471.4,419.4125,-3.8
21,501.8125,445.475,-4.35
22,531.8875,471.65,-3.8375
23,561.8125,497.65,-3.4875
24,591.3125,524.2375,-4.0125
25,620.575,551.3,-4.2875
26,651.0,577.1875,-3.625
27,682.1375,603.325,-5.3
28,712.7625,630.975,-4.975
29,743.675,658.025,-3.725
30,775.3125,684.1125,-3.6
31,805.325,709.9,-4.9
32,836.9875,736.7125,-5.7125
33,867.9875,763.0125,-7.9
34,899.675,789.0625,-8.6875
35,931.2625,817.9125,-9.05
36,961.925,845.9375,-8.1375
37,994.425,873.6375,-7.4125
38,1026.1625,902.1375,-7.775
39,1057.6375,930.3125,-9.4125
40,1090.975,957.9375,-9.875
41,1124.4375,985.6125,-9.1375
42,1157.1,1013.875,-8.3875
43,1189.3,1043.6,-9.2375
44,1221.175,1071.85,-8.3625
45,1252.525,1100.4375,-7.9125
46,1283.35,1127.775,-8.2125
47,1314.7125,1156.175,-8.6625
48,1346.3875,1184.775,-8.5125
49,1379.1625,1213.0625,-8.1375
50,1412.1375,1242.3125,-8.9625
51,1444.0375,1270.5,-8.8625
52,1475.9875,1298.1125,-8.5625
53,1509.5625,1325.5375,-8.4625
54,1541.8,1353.1,-8.275
55,1574.7875,1382.2125,-8.1375
56,1607.9625,1410.8125,-8.1125
57,1641.2625,1439.375,-7.6625
58,1674.725,1467.625,-7.4875
59,1707.225,1496.125,-7.675
60,1740.2625,1525.1,-8.9625
61,1773.8,1554.05,-9.5875
62,1807.0125,1582.925,-11.25
63,1840.6625,1611.625,-11.95
64,1874.5875,1641.0625,-10.9875
65,1908.4875,1669.875,-12.3625
66,1942.525,1697.9875,-12.075
67,1974.875,1725.5375,-12.1375
68,2008.3875,1753.675,-12.425
69,2041.575,1782.5375,-12.675
70,2075.025,1811.125,-14.9375
71,2108.0125,1839.15,-15.0875
72,2140.2625,1867.5625,-15.1875
73,2173.025,1895.95,-15.4875
74,2206.5625,1924.9625,-16.8625
75,2239.6875,1953.1375,-19.1625
76,2272.9,1981.825,-20.9
77,2306.125,2010.9,-20.85
78,2339.9125,2039.85,-21.1875
79,2373.075,2068.3625,-20.95
80,2406.025,2097.175,-23.2375
81,2440.2375,2125.1625,-23.25
82,2473.825,2152.9125,-24.325
83,2508.4125,2181.1125,-23.15
84,2542.1625,2209.825,-22.05
85,2574.4375,2238.1,-22.4125
86,2608.5125,2266.7625,-22.6375
87,2643.025,2295.5875,-23.1
88,2676.65,2324.8125,-22.4875
89,2710.575,2353.4625,-22.5625
90,2744.8875,2382.575,-22.5125
91,2778.7,2410.8125,-22.05
92,2812.5875,2439.05,-22.05
93,2846.0625,2467.5375,-21.0875
94,2880.2,2496.325,-21.875
95,2914.975,2526.7125,-22.8125
96,2948.95,2556.2625,-23.25
97,2982.85,2586.05,-22.625
98,3017.4875,2614.9375,-22.1875
99,3051.7125,2643.4375,-21.0375
