Round,FIRE,FIREWithoutRecency,Random
0,-0.375,4.625,-7.125
1,14.125,4.125,-15.5
2,32.375,21.625,-22.75
3,52.5,47.0,-29.0
4,78.0,78.0,-34.625
5,101.625,108.0,-39.0
6,121.625,134.75,-39.25
7,147.375,163.75,-45.5
8,172.875,194.0,-51.375
9,197.375,222.5,-57.875
