Round,FIRE,FIREWithoutRecency,Random
0,-1.0,2.875,0.875
1,10.75,12.75,-1.875
2,24.625,36.625,-1.5
3,47.875,65.875,-1.625
4,76.875,97.0,-2.625
5,101.25,131.125,-1.0
6,127.875,160.625,-4.75
7,153.75,192.375,-1.625
8,179.25,222.625,-3.5
9,207.125,253.875,-2.875
