Round,Mitigating,Random,FIRE,FIREWithoutRecency
0,-0.2,-0.4375,-4.3125,4.7125
1,-4.24375,-2.59375,-4.11875,7.13125
2,-3.4375,-0.3625,-5.65625,9.59375
3,-5.1875,1.39375,-5.725,13.05
4,-6.66875,0.96875,-4.6875,17.525
5,-10.00625,-2.0875,-2.74375,23.19375
6,-7.99375,0.2875,3.56875,29.65625
7,-3.3,-3.3,11.34375,42.65
8,7.51875,-5.025,25.7375,53.2625
9,22.25,-6.75,46.0375,67.83125
10,35.6375,-8.375,69.0375,81.08125
11,56.825,-11.075,98.33125,97.9875
12,75.84375,-13.86875,132.19375,117.0125
13,100.2375,-13.675,166.89375,136.775
14,124.1125,-13.55625,207.14375,155.9625
15,155.95625,-13.61875,250.425,178.8625
16,188.58125,-15.01875,292.2625,203.875
17,224.11875,-13.04375,339.38125,230.81875
18,263.10625,-14.825,387.88125,257.25
19,304.6625,-15.0875,436.48125,286.08125
20,348.73125,-15.3,488.0625,316.4875
21,394.05,-16.05,537.29375,349.70625
22,442.625,-11.80625,591.90625,385.60625
23,491.9375,-12.225,647.4625,421.98125
24,541.5875,-10.95625,702.4,462.45625
25,596.475,-12.5625,760.6625,502.0375
26,651.95,-12.4625,820.4375,542.33125
27,710.3625,-14.05625,880.34375,583.55625
28,765.9,-13.2625,942.6,626.78125
29,823.2375,-13.25625,1006.63125,671.14375
30,884.99375,-12.45,1071.175,715.96875
31,949.85,-14.99375,1141.3375,762.05625
32,1015.84375,-14.38125,1209.91875,811.275
33,1078.8,-16.1,1276.45625,856.30625
34,1138.2875,-15.6125,1339.58125,902.11875
35,1193.5375,-16.8125,1400.83125,945.25625
36,1247.85625,-17.84375,1457.7625,983.65
37,1297.875,-18.1125,1511.68125,1020.25625
38,1346.19375,-20.9125,1562.05,1058.01875
39,1391.91875,-22.64375,1611.79375,1094.16875
40,1437.9625,-22.13125,1655.9625,1126.95625
41,1480.84375,-23.86875,1699.59375,1156.25
42,1522.94375,-22.35625,1740.9375,1187.93125
43,1563.6,-21.38125,1785.39375,1219.20625
44,1603.05625,-22.275,1824.325,1247.75625
45,1638.03125,-25.38125,1863.34375,1275.74375
46,1674.5625,-26.9,1900.7375,1304.825
47,1710.80625,-28.60625,1938.525,1331.53125
48,1745.93125,-31.8625,1976.34375,1357.20625
49,1781.3375,-32.6125,2016.725,1383.225
50,1816.6125,-33.4375,2052.16875,1410.98125
51,1853.60625,-33.2625,2091.59375,1441.25625
52,1888.11875,-31.425,2130.24375,1467.325
53,1925.925,-32.76875,2171.56875,1495.39375
54,1963.90625,-33.0,2211.16875,1526.44375
55,1999.8375,-30.79375,2252.35625,1552.7375
56,2036.2375,-32.41875,2295.89375,1585.34375
57,2074.7,-34.925,2337.6875,1611.9875
58,2115.375,-36.4875,2381.4,1641.68125
59,2154.3625,-37.25,2429.8125,1670.7625
60,2193.33125,-38.93125,2475.48125,1702.875
61,2234.85625,-37.8625,2523.86875,1737.025
62,2276.575,-36.2125,2571.19375,1768.975
63,2316.50625,-37.61875,2621.3,1797.85
64,2359.5625,-37.99375,2669.94375,1832.1375
65,2404.1375,-38.18125,2721.475,1867.83125
66,2449.55,-38.04375,2774.29375,1900.66875
67,2495.69375,-38.4875,2823.6375,1937.5125
68,2544.1125,-36.7,2876.925,1971.85625
69,2594.675,-35.925,2930.625,2005.3625
70,2641.65625,-40.04375,2983.76875,2041.90625
71,2688.1625,-41.33125,3035.7875,2077.3375
72,2735.025,-43.98125,3088.15,2114.26875
73,2782.78125,-45.60625,3142.625,2148.0375
74,2829.9,-47.05,3194.3625,2183.91875
75,2874.9875,-47.18125,3245.025,2218.03125
76,2922.80625,-48.59375,3295.08125,2253.4625
77,2967.3625,-50.8,3346.7375,2286.11875
78,3012.4,-50.75625,3396.775,2319.925
79,3058.29375,-51.8125,3444.075,2352.09375
80,3106.6,-51.63125,3492.76875,2387.8125
81,3152.125,-54.175,3537.81875,2422.95625
82,3195.375,-52.19375,3585.81875,2454.70625
83,3239.28125,-50.4625,3630.7375,2486.83125
84,3282.66875,-51.76875,3676.75,2518.11875
85,3324.11875,-51.525,3723.21875,2551.3875
86,3365.75625,-51.50625,3769.0875,2583.03125
87,3408.83125,-52.4125,3814.4125,2615.55625
88,3449.54375,-51.9625,3860.15,2645.65625
89,3491.25,-51.99375,3901.025,2677.0375
90,3534.13125,-51.0375,3945.10625,2706.33125
91,3575.33125,-52.26875,3986.85,2736.5375
92,3616.79375,-53.7875,4030.93125,2766.01875
93,3656.31875,-55.425,4076.175,2795.5625
94,3697.41875,-53.28125,4121.95,2828.9
95,3739.9,-51.475,4166.2375,2862.15625
96,3779.5,-53.38125,4210.54375,2893.35
97,3822.16875,-54.7125,4254.675,2927.1375
98,3860.36875,-56.625,4298.675,2961.225
99,3901.225,-59.65625,4341.3125,2992.00625
100,3942.63125,-60.4,4386.5875,3026.4125
101,3983.03125,-62.60625,4434.2875,3059.94375
102,4027.34375,-62.98125,4478.95625,3093.5875
103,4071.475,-65.575,4527.825,3126.46875
104,4115.86875,-68.0,4577.83125,3158.5125
105,4161.6,-70.69375,4627.15,3193.925
106,4205.65,-73.0125,4673.3125,3229.5
107,4251.28125,-74.0625,4719.85625,3261.21875
108,4296.2125,-71.1625,4766.05,3295.1625
109,4339.28125,-72.18125,4815.81875,3325.38125
110,4382.84375,-69.20625,4864.04375,3357.3625
111,4427.80625,-69.33125,4911.3875,3390.6
112,4472.725,-68.40625,4960.33125,3422.25625
113,4518.4625,-68.6,5008.6875,3453.13125
114,4563.45625,-69.325,5056.5,3484.73125
115,4607.7125,-69.2375,5105.825,3516.1375
116,4651.21875,-71.3625,5154.275,3548.65625
117,4693.3625,-71.59375,5203.5,3583.34375
118,4738.05,-73.6875,5253.0375,3614.0625
119,4781.59375,-72.1375,5303.20625,3644.8375
120,4824.5125,-74.43125,5350.8375,3678.06875
121,4867.08125,-75.70625,5397.70625,3708.6875
122,4913.59375,-77.2625,5445.0625,3741.8625
123,4958.1375,-77.55,5493.85625,3773.26875
124,5002.21875,-77.01875,5541.875,3807.675
125,5045.59375,-77.225,5588.10625,3838.49375
126,5089.41875,-76.99375,5635.21875,3870.48125
127,5129.79375,-77.8625,5681.90625,3900.76875
128,5173.73125,-79.475,5729.95,3936.925
129,5219.23125,-81.48125,5774.5875,3971.65
130,5260.4375,-80.3875,5819.81875,4005.48125
131,5302.79375,-78.74375,5861.2375,4034.3625
132,5347.33125,-80.9875,5909.63125,4069.08125
133,5387.6375,-83.58125,5955.1875,4101.3125
134,5430.9125,-86.49375,6001.80625,4134.94375
135,5473.3875,-87.375,6051.73125,4165.8375
136,5516.36875,-86.04375,6098.675,4200.79375
137,5555.6375,-88.85625,6145.0125,4235.625
138,5596.90625,-88.16875,6188.7375,4270.79375
139,5641.1125,-88.3125,6233.3125,4303.75625
140,5686.13125,-89.2375,6280.2,4333.80625
141,5732.20625,-90.04375,6326.1375,4366.78125
142,5779.13125,-90.675,6372.48125,4401.3
143,5821.6125,-93.05,6418.85,4436.75
144,5862.33125,-93.55,6467.75,4468.55625
145,5905.0625,-94.6625,6515.53125,4499.38125
146,5947.875,-96.60625,6563.81875,4530.725
147,5989.54375,-97.93125,6607.8625,4565.2125
148,6031.35,-100.35625,6654.08125,4595.325
149,6069.48125,-101.66875,6700.5625,4626.95625
150,6110.8625,-103.8375,6749.55625,4662.31875
151,6154.64375,-105.7625,6798.65625,4694.89375
152,6196.16875,-105.03125,6848.4,4729.35
153,6239.86875,-104.55,6897.31875,4762.8125
154,6283.5875,-105.1125,6944.86875,4791.875
155,6328.1625,-108.15,6992.175,4822.9
156,6372.71875,-108.29375,7038.3125,4855.8
157,6415.0375,-108.4,7083.90625,4887.2875
158,6459.6125,-111.125,7132.3125,4919.71875
159,6502.8125,-110.66875,7182.85625,4949.8375
160,6544.90625,-112.99375,7229.15625,4979.8875
161,6589.925,-116.29375,7276.71875,5010.175
162,6632.025,-113.71875,7325.45,5040.8125
163,6675.325,-115.0375,7372.55,5073.38125
164,6716.24375,-112.6625,7418.0,5105.56875
165,6758.775,-113.60625,7463.91875,5137.79375
166,6804.1875,-116.725,7510.00625,5170.875
167,6847.7125,-115.5625,7556.00625,5204.99375
168,6892.1875,-116.13125,7604.83125,5235.9
169,6933.575,-118.68125,7654.56875,5268.05625
170,6975.70625,-120.4875,7702.325,5302.2125
171,7016.7625,-121.6,7746.40625,5333.9625
172,7058.63125,-123.88125,7794.15,5365.96875
173,7102.8125,-124.875,7842.475,5399.7625
174,7147.5375,-125.63125,7887.0,5434.275
175,7191.10625,-126.19375,7932.64375,5469.9125
176,7232.8375,-122.98125,7980.0375,5503.78125
177,7276.475,-124.99375,8027.24375,5536.975
178,7320.81875,-123.83125,8074.8875,5572.93125
179,7366.73125,-127.20625,8123.06875,5606.3625
180,7411.48125,-129.6875,8171.15625,5636.2125
181,7456.3875,-131.2,8215.15625,5670.29375
182,7500.65625,-128.9125,8259.86875,5701.7125
183,7544.90625,-130.3125,8306.85,5734.85625
184,7587.03125,-130.38125,8351.925,5768.4125
185,7630.875,-131.34375,8398.95,5801.1625
186,7675.46875,-133.8,8448.725,5834.325
187,7716.20625,-135.6,8497.65,5867.5125
188,7757.84375,-138.4,8545.7625,5899.8125
189,7802.7,-139.3625,8592.11875,5934.475
190,7845.5875,-138.9625,8639.425,5967.95
191,7886.05625,-140.16875,8687.09375,5998.4
192,7932.84375,-138.56875,8735.21875,6030.70625
193,7974.6,-141.4875,8784.99375,6062.2625
194,8017.01875,-142.4375,8832.89375,6096.4
195,8057.96875,-142.55,8881.175,6131.79375
196,8102.775,-147.475,8929.35,6165.85625
197,8146.85625,-146.74375,8976.5,6196.79375
198,8192.3625,-150.60625,9026.03125,6228.33125
199,8235.25625,-151.7875,9072.65625,6262.1875
