Round,FIRE,FIREWithoutRecency,Random
0,-0.15,0.55,0.075
1,-0.2875,0.8375,0.2625
2,-0.15,1.1125,0.125
3,-0.5625,1.575,0.2125
4,-0.375,1.9,0.5125
5,-0.6125,2.075,0.65
6,-0.775,2.3,0.975
7,-1.0375,2.55,1.2625
8,-0.975,2.85,0.7125
9,-1.15,3.0625,1.425
10,-1.25,3.1625,1.6125
11,-1.05,3.0,1.6625
12,-1.1375,3.35,2.25
13,-1.4875,3.9,1.9
14,-1.575,4.2375,1.9625
15,-1.4125,4.275,2.1
16,-1.525,4.575,2.3625
17,-1.7625,4.6125,2.2875
18,-1.7875,4.8125,2.65
19,-1.6,4.825,2.825
20,-1.5375,4.85,2.45
21,-1.375,5.175,2.75
22,-1.0,5.525,2.975
23,-0.9125,5.5375,2.9375
24,-1.0375,6.2125,2.625
25,-0.6625,6.6875,3.0875
26,-0.9875,7.2375,3.25
27,-1.1625,7.625,3.675
28,-1.275,7.9625,4.0125
29,-1.3125,8.475,4.3625
30,-1.1,9.2625,4.8
31,-0.8875,10.0625,5.1875
32,-0.7875,10.8375,5.275
33,-0.5875,11.5875,5.35
34,-0.15,11.75,5.5625
35,0.0875,12.1625,5.5125
36,0.55,12.125,5.7875
37,0.75,12.125,6.125
38,0.975,12.3,5.975
39,1.2875,12.5875,6.075
40,1.575,13.3375,6.2375
41,2.0875,13.1,6.45
42,2.3625,13.2375,7.0
43,2.75,13.725,7.0125
44,2.6875,14.2125,7.1125
45,2.6625,14.2125,7.5125
46,2.6875,14.4,7.7625
47,2.5375,14.3375,7.85
48,3.25,14.3125,8.1625
49,3.2625,14.8125,8.25
50,3.45,15.075,8.3625
51,3.5375,15.4125,8.375
52,3.675,15.9,8.3125
53,3.5,16.2625,8.6
54,3.5375,16.6125,9.05
55,3.625,16.575,9.525
56,3.6125,17.0875,9.45
57,3.85,17.3125,9.6125
58,4.3,17.525,9.8625
59,4.1125,17.6625,9.8375
60,4.3625,17.9875,9.975
61,5.0125,18.225,10.2125
62,5.575,18.9125,10.325
63,5.35,19.325,10.1875
64,5.2,19.8625,10.6625
65,5.2625,19.675,10.95
66,5.6125,20.05,11.0875
67,5.3875,20.55,11.3375
68,5.3125,20.9,11.775
69,5.525,21.3375,11.525
70,5.5375,21.7375,11.775
71,5.3625,21.625,12.3
72,5.4375,21.7125,12.45
73,5.5375,22.0875,13.025
74,5.9,22.0875,13.025
75,5.6625,22.25,13.05
76,5.3625,22.325,12.8125
77,5.3625,22.6,12.6625
78,5.2125,22.9375,12.575
79,4.875,23.5875,13.0125
80,4.8125,23.7125,13.075
81,4.8125,23.9625,12.8625
82,4.625,24.2625,13.15
83,4.9125,24.3875,13.4375
84,5.0,24.675,13.5875
85,5.1625,24.95,13.8
86,5.8,25.3375,14.1625
87,6.2625,25.825,13.9625
88,6.525,26.15,14.7375
89,6.475,26.7125,15.025
90,6.75,27.3375,15.4875
91,7.125,27.8375,15.8125
92,7.0875,28.4,15.5875
93,7.075,28.775,16.3
94,7.2375,29.1875,16.475
95,7.1625,29.675,16.7
96,7.225,29.975,16.625
97,6.9,30.175,16.8
98,7.1875,30.65,17.1375
99,7.0375,30.85,17.4375
