Round,FIRE,FIREWithoutRecency,Random
0,0.15,-0.025,-0.45
1,0.6,0.225,-0.9875
2,0.6125,0.05,-1.4125
3,1.125,-0.05,-1.8875
4,1.5,0.0625,-1.9875
5,1.8,-0.4,-2.4
6,2.1125,-0.3,-2.55
7,2.6125,-0.625,-2.675
8,3.0875,-0.85,-2.8625
9,3.3625,-0.975,-3.3875
10,4.0375,-0.825,-3.8125
11,4.325,-1.125,-3.5625
12,4.8125,-1.05,-3.9375
13,4.9125,-1.0125,-4.725
14,5.2625,-1.275,-5.0875
15,4.8875,-1.2,-5.6125
16,5.8375,-1.2625,-6.2625
17,6.4875,-1.4625,-6.675
18,6.7875,-1.7125,-7.1625
19,7.1,-2.0375,-7.7875
20,7.675,-2.05,-7.975
21,8.0,-2.275,-8.2875
22,8.45,-2.3,-8.5
23,9.05,-2.3375,-8.875
24,9.2375,-2.2125,-9.275
25,9.5625,-1.8,-9.6375
26,10.1125,-1.9375,-10.325
27,10.425,-1.6375,-11.1125
28,10.8,-1.9125,-11.675
29,11.4875,-1.9625,-12.15
30,12.025,-1.925,-12.5875
31,11.8125,-1.9875,-12.75
32,12.4625,-1.5625,-13.125
33,12.575,-1.45,-13.7625
34,12.825,-1.65,-14.1
35,13.35,-1.6375,-14.3
36,13.5625,-2.025,-14.7375
37,13.7875,-2.125,-14.6
38,14.1125,-2.0375,-14.9875
39,14.75,-2.25,-15.0
40,15.4375,-2.1375,-15.1125
41,16.125,-2.3375,-15.325
42,16.425,-2.2875,-15.6625
43,16.8375,-2.2375,-15.925
44,17.275,-2.2,-16.25
45,17.4625,-2.05,-16.7625
46,18.0875,-1.975,-16.95
47,18.65,-2.2,-17.3375
48,18.7125,-1.9125,-17.525
49,18.75,-2.0625,-17.5375
50,19.9625,-2.025,-17.675
51,20.4375,-2.1625,-17.7125
52,20.65,-2.0875,-17.8375
53,21.3,-1.7,-17.6
54,21.675,-1.45,-17.7
55,21.55,-1.275,-18.2625
56,22.3875,-1.075,-18.275
57,22.3625,-1.0625,-18.5875
58,22.4875,-1.425,-19.2625
59,22.9375,-1.0375,-19.975
60,23.125,-1.1875,-20.4625
61,23.7,-0.9875,-20.4625
62,24.0875,-0.675,-20.7375
63,24.0125,-0.525,-20.7375
64,24.7125,-0.6125,-21.05
65,25.1125,-0.7125,-21.3375
66,25.525,-1.05,-21.6875
67,26.0125,-0.7625,-22.1125
68,26.4875,-0.7375,-22.3625
69,27.1375,-0.675,-22.7625
70,27.675,-0.9,-23.075
71,28.25,-0.9125,-23.225
72,29.05,-0.7375,-23.625
73,28.8625,-0.5875,-23.8375
74,29.4375,-0.5375,-24.325
75,29.8125,-0.7,-24.7
76,30.25,-0.8125,-25.4875
77,30.7875,-1.1625,-25.6375
78,31.025,-1.1875,-26.225
79,31.8375,-1.55,-26.75
80,32.0875,-1.1875,-26.85
81,32.625,-1.225,-26.8875
82,33.1125,-1.1375,-27.2375
83,33.7875,-0.8625,-26.95
84,34.275,-0.2875,-27.225
85,35.0625,-0.3625,-27.7625
86,35.6875,-0.3,-27.95
87,36.3125,-0.525,-28.575
88,37.2,-0.2625,-28.65
89,37.9125,-0.2,-28.9375
90,38.125,-0.475,-29.1375
91,38.2625,-0.6125,-28.875
92,39.0,-0.625,-28.8125
93,39.6125,-0.4375,-29.2625
94,40.1125,-0.325,-29.275
95,40.325,-0.9,-29.575
96,40.925,-1.275,-30.1625
97,41.625,-1.525,-30.1125
98,41.95,-1.45,-30.3125
99,42.15,-1.275,-30.825
